top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,4,4,0,1,1,0,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,3,3,1,1,11,8,3,460,1234,27,10,9,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,2,2,0,136,136,0,1,1,0,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,5,4,2,1,14,11,3,714,1414,119,12,11,1,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,6,5,2,1,17,14,3,937,1533,423,15,12,3,0
1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,6,3,4,1,12,5,7,790,513,1132,10,6,4,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,3,0,12,0,12,29,0,35,2,0,2,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,13,13,0,0,144,144,0,436,438,0,3,3,0,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,11,0,11,0,22,0,22,110,0,110,1,0,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0
1,1,0,2,2,1,1,0,0,2,2,0,3,3,1,1,28,25,4,1,148,135,14,1854,5465,179,27,26,1,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,7,7,0,20,20,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,4,4,0,1,1,0,0
1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,5,0,5,5,0,5,1,0,1,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,55,79,0,2,2,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,15,15,0,1,1,0,0
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,5,0,5,1,0,1,0
1,1,0,2,1,1,1,0,0,2,2,0,3,2,1,0,4,2,2,0,6,2,4,103,11,92,4,2,2,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,4,4,0,34,34,0,3,3,0,0
0,0,0,2,1,1,2,1,1,0,0,0,2,1,1,0,3,1,2,0,8,4,4,223,34,189,5,3,2,0
0,0,0,2,2,1,2,1,1,0,0,0,2,2,1,1,4,3,1,0,10,8,2,247,223,24,7,5,2,0
0,0,0,3,2,1,1,0,0,2,2,0,3,2,1,0,5,4,1,0,60,10,50,400,247,227,12,7,5,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,7,7,0,1,1,0,0
1,0,1,4,1,3,1,1,1,4,0,4,5,1,4,0,7,2,6,1,67,4,63,563,420,481,18,5,13,0
1,0,1,4,1,3,1,1,1,4,0,4,5,1,4,0,7,1,6,0,103,40,63,774,494,481,15,2,13,0
1,1,0,1,0,1,2,1,1,0,0,0,2,1,1,0,5,1,4,0,26,3,23,679,7,802,6,1,5,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,18,18,0,65,65,0,1,1,0,0
1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,6,5,2,1,35,17,18,809,1691,58,8,7,1,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,2,2,0,38,38,0,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,6,5,1,0,84,83,1,649,814,256,3,3,1,0
1,1,1,4,4,0,1,0,0,4,4,0,5,5,1,1,10,9,1,0,162,152,10,1549,3350,253,24,21,3,0
